Index,TX_Bit,TX_Sample,RX_Bit,Error
302,0,-127,0,0
303,1,127,1,0
304,1,127,1,0
305,1,127,1,0
306,1,127,1,0
307,1,127,1,0
308,1,127,1,0
309,0,-127,0,0
310,1,127,1,0
311,1,127,1,0
312,0,-127,0,0
313,1,127,1,0
314,1,127,1,0
315,0,-127,0,0
316,0,-127,0,0
317,0,-127,0,0
318,0,-127,0,0
319,0,-127,0,0
320,0,-127,0,0
321,0,-127,0,0
322,1,127,1,0
323,0,-127,0,0
324,1,127,1,0
325,0,-127,0,0
326,0,-127,0,0
327,1,127,1,0
328,0,-127,0,0
329,0,-127,0,0
330,0,-127,0,0
331,0,-127,0,0
332,1,127,1,0
333,0,-127,0,0
334,0,-127,0,0
335,1,127,1,0
336,0,-127,0,0
337,1,127,1,0
338,0,-127,0,0
339,1,127,1,0
340,0,-127,0,0
341,0,-127,0,0
342,0,-127,0,0
343,0,-127,0,0
344,0,-127,0,0
345,0,-127,0,0
346,1,127,1,0
347,0,-127,0,0
348,1,127,1,0
349,1,127,1,0
350,1,127,1,0
351,1,127,1,0
352,1,127,1,0
353,1,127,1,0
354,1,127,1,0
355,1,127,1,0
356,1,127,1,0
357,1,127,1,0
358,0,-127,0,0
359,1,127,1,0
360,1,127,1,0
361,0,-127,0,0
362,1,127,1,0
363,0,-127,0,0
364,0,-127,0,0
365,0,-127,0,0
366,1,127,1,0
367,0,-127,0,0
368,1,127,1,0
369,1,127,1,0
370,0,-127,0,0
371,0,-127,0,0
372,1,127,1,0
373,0,-127,0,0
374,0,-127,0,0
375,0,-127,0,0
376,0,-127,0,0
377,0,-127,0,0
378,0,-127,0,0
379,0,-127,0,0
380,1,127,1,0
381,1,127,1,0
382,0,-127,0,0
383,0,-127,0,0
384,0,-127,0,0
385,0,-127,0,0
386,1,127,1,0
387,1,127,1,0
388,0,-127,0,0
389,1,127,1,0
390,1,127,1,0
391,1,127,1,0
392,0,-127,0,0
393,0,-127,0,0
394,1,127,1,0
395,1,127,1,0
396,0,-127,0,0
397,1,127,1,0
398,0,-127,0,0
399,0,-127,0,0
400,0,-127,0,0
401,1,127,1,0
402,1,127,1,0
403,1,127,1,0
404,0,-127,0,0
405,1,127,1,0
406,0,-127,0,0
407,1,127,1,0
408,0,-127,0,0
409,1,127,1,0
410,1,127,1,0
411,0,-127,0,0
412,0,-127,0,0
413,1,127,1,0
414,1,127,1,0
415,1,127,1,0
416,0,-127,0,0
417,1,127,1,0
418,1,127,1,0
419,0,-127,0,0
420,0,-127,0,0
421,1,127,1,0
422,0,-127,0,0
423,1,127,1,0
424,0,-127,0,0
425,1,127,1,0
426,0,-127,0,0
427,0,-127,0,0
428,1,127,1,0
429,1,127,1,0
430,0,-127,0,0
431,1,127,1,0
432,1,127,1,0
433,1,127,1,0
434,1,127,1,0
435,1,127,1,0
436,1,127,1,0
437,0,-127,0,0
438,1,127,1,0
439,1,127,1,0
440,1,127,1,0
441,1,127,1,0
442,1,127,1,0
443,1,127,1,0
444,1,127,1,0
445,1,127,1,0
446,0,-127,0,0
447,1,127,1,0
448,0,-127,0,0
449,0,-127,0,0
450,1,127,1,0
451,1,127,1,0
452,0,-127,0,0
453,1,127,1,0
454,0,-127,0,0
455,0,-127,0,0
456,1,127,1,0
457,0,-127,0,0
458,0,-127,0,0
459,1,127,1,0
460,1,127,1,0
461,0,-127,0,0
462,0,-127,0,0
463,0,-127,0,0
464,0,-127,0,0
465,1,127,1,0
466,0,-127,0,0
467,0,-127,0,0
468,1,127,1,0
469,0,-127,0,0
470,0,-127,0,0
471,0,-127,0,0
472,0,-127,0,0
473,0,-127,0,0
474,1,127,1,0
475,1,127,1,0
476,0,-127,0,0
477,0,-127,0,0
478,1,127,1,0
479,0,-127,0,0
480,0,-127,0,0
481,1,127,1,0
482,0,-127,0,0
483,1,127,1,0
484,0,-127,0,0
485,1,127,1,0
486,1,127,1,0
487,1,127,1,0
488,1,127,1,0
489,1,127,1,0
490,0,-127,0,0
491,1,127,1,0
492,0,-127,0,0
493,0,-127,0,0
494,0,-127,0,0
495,0,-127,0,0
496,1,127,1,0
497,0,-127,0,0
498,1,127,1,0
499,0,-127,0,0
500,0,-127,0,0
501,0,-127,0,0
502,1,127,1,0
503,0,-127,0,0
504,1,127,1,0
505,0,-127,0,0
506,1,127,1,0
507,1,127,1,0
508,1,127,1,0
509,0,-127,0,0
510,0,-127,0,0
511,1,127,1,0
512,0,-127,0,0
513,1,127,1,0
514,1,127,1,0
515,0,-127,0,0
516,0,-127,0,0
517,0,-127,0,0
518,1,127,1,0
519,0,-127,0,0
520,1,127,1,0
521,1,127,1,0
522,0,-127,0,0
523,1,127,1,0
524,0,-127,0,0
525,0,-127,0,0
526,1,127,1,0
527,1,127,1,0
528,0,-127,0,0
529,1,127,1,0
530,0,-127,0,0
531,1,127,1,0
532,1,127,1,0
533,1,127,1,0
534,1,127,1,0
535,1,127,1,0
536,0,-127,0,0
537,0,-127,0,0
538,1,127,1,0
539,0,-127,0,0
540,1,127,1,0
541,1,127,1,0
542,0,-127,0,0
543,0,-127,0,0
544,0,-127,0,0
545,0,-127,0,0
546,1,127,1,0
547,1,127,1,0
548,1,127,1,0
549,0,-127,0,0
550,0,-127,0,0
551,0,-127,0,0
552,0,-127,0,0
553,1,127,1,0
554,1,127,1,0
555,1,127,1,0
556,1,127,1,0
557,0,-127,0,0
558,1,127,1,0
559,1,127,1,0
560,0,-127,0,0
561,0,-127,0,0
562,0,-127,0,0
563,1,127,1,0
564,0,-127,0,0
565,0,-127,0,0
566,0,-127,0,0
567,0,-127,0,0
568,0,-127,0,0
569,1,127,1,0
570,0,-127,0,0
571,0,-127,0,0
572,1,127,1,0
573,1,127,1,0
574,0,-127,0,0
575,0,-127,0,0
576,0,-127,0,0
577,0,-127,0,0
578,0,-127,0,0
579,0,-127,0,0
580,1,127,1,0
581,0,-127,0,0
582,1,127,1,0
583,1,127,1,0
584,0,-127,0,0
585,1,127,1,0
586,0,-127,0,0
587,0,-127,0,0
588,0,-127,0,0
589,1,127,1,0
590,0,-127,0,0
591,1,127,1,0
592,0,-127,0,0
593,1,127,1,0
594,0,-127,0,0
595,1,127,1,0
596,0,-127,0,0
597,0,-127,0,0
598,0,-127,0,0
599,0,-127,0,0
600,1,127,1,0
601,0,-127,0,0
602,1,127,1,0
603,0,-127,0,0
604,1,127,1,0
605,0,-127,0,0
606,0,-127,0,0
607,1,127,1,0
608,0,-127,0,0
609,1,127,1,0
610,1,127,1,0
611,0,-127,0,0
612,0,-127,0,0
613,0,-127,0,0
614,1,127,1,0
615,0,-127,0,0
616,1,127,1,0
617,1,127,1,0
618,1,127,1,0
619,1,127,1,0
620,0,-127,0,0
621,0,-127,0,0
622,1,127,1,0
623,0,-127,0,0
624,0,-127,0,0
625,0,-127,0,0
626,1,127,1,0
627,0,-127,0,0
628,0,-127,0,0
629,1,127,1,0
630,1,127,1,0
631,1,127,1,0
632,0,-127,0,0
633,0,-127,0,0
634,1,127,1,0
635,1,127,1,0
636,1,127,1,0
637,0,-127,0,0
638,1,127,1,0
639,0,-127,0,0
640,1,127,1,0
641,0,-127,0,0
642,0,-127,0,0
643,1,127,1,0
644,1,127,1,0
645,0,-127,0,0
646,0,-127,0,0
647,1,127,1,0
648,1,127,1,0
649,1,127,1,0
650,0,-127,0,0
651,1,127,1,0
652,1,127,1,0
653,1,127,1,0
654,1,127,1,0
655,0,-127,0,0
656,0,-127,0,0
657,0,-127,0,0
658,1,127,1,0
659,0,-127,0,0
660,1,127,1,0
661,1,127,1,0
662,1,127,1,0
663,0,-127,0,0
664,0,-127,0,0
665,1,127,1,0
666,1,127,1,0
667,0,-127,0,0
668,0,-127,0,0
669,1,127,1,0
670,1,127,1,0
671,0,-127,0,0
672,1,127,1,0
673,0,-127,0,0
674,1,127,1,0
675,0,-127,0,0
676,1,127,1,0
677,0,-127,0,0
678,0,-127,0,0
679,0,-127,0,0
680,0,-127,0,0
681,0,-127,0,0
682,0,-127,0,0
683,1,127,1,0
684,0,-127,0,0
685,0,-127,0,0
686,1,127,1,0
687,1,127,1,0
688,1,127,1,0
689,0,-127,0,0
690,1,127,1,0
691,1,127,1,0
692,1,127,1,0
693,0,-127,0,0
694,1,127,1,0
695,1,127,1,0
696,1,127,1,0
697,0,-127,0,0
698,1,127,1,0
699,0,-127,0,0
700,1,127,1,0
701,0,-127,0,0
702,0,-127,0,0
703,1,127,1,0
704,0,-127,0,0
705,0,-127,0,0
706,1,127,1,0
707,0,-127,0,0
708,1,127,1,0
709,0,-127,0,0
710,0,-127,0,0
711,0,-127,0,0
712,1,127,1,0
713,0,-127,0,0
714,1,127,1,0
715,0,-127,0,0
716,1,127,1,0
717,0,-127,0,0
718,1,127,1,0
719,1,127,1,0
720,1,127,1,0
721,1,127,1,0
722,0,-127,0,0
723,0,-127,0,0
724,0,-127,0,0
725,1,127,1,0
726,0,-127,0,0
727,0,-127,0,0
728,1,127,1,0
729,1,127,1,0
730,0,-127,0,0
731,0,-127,0,0
732,0,-127,0,0
733,1,127,1,0
734,1,127,1,0
735,0,-127,0,0
736,0,-127,0,0
737,0,-127,0,0
738,0,-127,0,0
739,1,127,1,0
740,0,-127,0,0
741,1,127,1,0
742,0,-127,0,0
743,0,-127,0,0
744,0,-127,0,0
745,1,127,1,0
746,0,-127,0,0
747,0,-127,0,0
748,1,127,1,0
749,0,-127,0,0
750,0,-127,0,0
751,0,-127,0,0
752,1,127,1,0
753,0,-127,0,0
754,0,-127,0,0
755,0,-127,0,0
756,1,127,1,0
757,0,-127,0,0
758,1,127,1,0
759,0,-127,0,0
760,0,-127,0,0
761,1,127,1,0
762,0,-127,0,0
763,1,127,1,0
764,1,127,1,0
765,1,127,1,0
766,0,-127,0,0
767,1,127,1,0
768,1,127,1,0
769,1,127,1,0
770,1,127,1,0
771,1,127,1,0
772,0,-127,0,0
773,0,-127,0,0
774,0,-127,0,0
775,0,-127,0,0
776,1,127,1,0
777,0,-127,0,0
778,1,127,1,0
779,0,-127,0,0
780,1,127,1,0
781,1,127,1,0
782,0,-127,0,0
783,0,-127,0,0
784,0,-127,0,0
785,0,-127,0,0
786,0,-127,0,0
787,1,127,1,0
788,1,127,1,0
789,1,127,1,0
790,0,-127,0,0
791,0,-127,0,0
792,0,-127,0,0
793,0,-127,0,0
794,1,127,1,0
795,1,127,1,0
796,1,127,1,0
797,0,-127,0,0
798,1,127,1,0
799,1,127,1,0
800,1,127,1,0
801,0,-127,0,0
802,0,-127,0,0
803,0,-127,0,0
804,0,-127,0,0
805,0,-127,0,0
806,1,127,1,0
807,1,127,1,0
808,1,127,1,0
809,1,127,1,0
810,1,127,1,0
811,1,127,1,0
812,1,127,1,0
813,1,127,1,0
814,1,127,1,0
815,0,-127,0,0
816,0,-127,0,0
817,0,-127,0,0
818,1,127,1,0
819,0,-127,0,0
820,0,-127,0,0
821,0,-127,0,0
822,0,-127,0,0
823,1,127,1,0
824,0,-127,0,0
825,0,-127,0,0
826,0,-127,0,0
827,0,-127,0,0
828,1,127,1,0
829,0,-127,0,0
830,1,127,1,0
831,0,-127,0,0
832,1,127,1,0
833,1,127,1,0
834,0,-127,0,0
835,1,127,1,0
836,0,-127,0,0
837,1,127,1,0
838,0,-127,0,0
839,0,-127,0,0
840,1,127,1,0
841,0,-127,0,0
842,0,-127,0,0
843,0,-127,0,0
844,1,127,1,0
845,1,127,1,0
846,0,-127,0,0
847,0,-127,0,0
848,0,-127,0,0
849,1,127,1,0
850,1,127,1,0
851,1,127,1,0
852,1,127,1,0
853,1,127,1,0
854,1,127,1,0
855,0,-127,0,0
856,1,127,1,0
857,1,127,1,0
858,1,127,1,0
859,1,127,1,0
860,1,127,1,0
861,1,127,1,0
862,1,127,1,0
863,0,-127,0,0
864,0,-127,0,0
865,1,127,1,0
866,1,127,1,0
867,1,127,1,0
868,1,127,1,0
869,0,-127,0,0
870,1,127,1,0
871,0,-127,0,0
872,0,-127,0,0
873,0,-127,0,0
874,0,-127,0,0
875,1,127,1,0
876,1,127,1,0
877,1,127,1,0
878,1,127,1,0
879,0,-127,0,0
880,1,127,1,0
881,1,127,1,0
882,1,127,1,0
883,0,-127,0,0
884,1,127,1,0
885,0,-127,0,0
886,1,127,1,0
887,1,127,1,0
888,0,-127,0,0
889,0,-127,0,0
890,0,-127,0,0
891,0,-127,0,0
892,0,-127,0,0
893,1,127,1,0
894,0,-127,0,0
895,0,-127,0,0
896,1,127,1,0
897,0,-127,0,0
898,0,-127,0,0
899,0,-127,0,0
900,0,-127,0,0
901,1,127,1,0
902,1,127,1,0
903,0,-127,0,0
904,0,-127,0,0
905,0,-127,0,0
906,1,127,1,0
907,0,-127,0,0
908,1,127,1,0
909,1,127,1,0
910,1,127,1,0
911,0,-127,0,0
912,1,127,1,0
913,1,127,1,0
914,0,-127,0,0
915,0,-127,0,0
916,1,127,1,0
917,0,-127,0,0
918,0,-127,0,0
919,0,-127,0,0
920,0,-127,0,0
921,0,-127,0,0
922,1,127,1,0
923,0,-127,0,0
924,1,127,1,0
925,1,127,1,0
926,0,-127,0,0
927,0,-127,0,0
928,1,127,1,0
929,0,-127,0,0
930,0,-127,0,0
931,0,-127,0,0
932,0,-127,0,0
933,1,127,1,0
934,1,127,1,0
935,1,127,1,0
936,0,-127,0,0
937,1,127,1,0
938,0,-127,0,0
939,0,-127,0,0
940,0,-127,0,0
941,0,-127,0,0
942,1,127,1,0
943,1,127,1,0
944,0,-127,0,0
945,1,127,1,0
946,1,127,1,0
947,1,127,1,0
948,0,-127,0,0
949,1,127,1,0
950,1,127,1,0
951,1,127,1,0
952,0,-127,0,0
953,0,-127,0,0
954,0,-127,0,0
955,1,127,1,0
956,1,127,1,0
957,0,-127,0,0
958,0,-127,0,0
959,0,-127,0,0
960,0,-127,0,0
961,1,127,1,0
962,0,-127,0,0
963,0,-127,0,0
964,1,127,1,0
965,0,-127,0,0
966,0,-127,0,0
967,0,-127,0,0
968,0,-127,0,0
969,0,-127,0,0
970,0,-127,0,0
971,1,127,1,0
972,0,-127,0,0
973,0,-127,0,0
974,1,127,1,0
975,0,-127,0,0
976,0,-127,0,0
977,0,-127,0,0
978,0,-127,0,0
979,1,127,1,0
980,0,-127,0,0
981,1,127,1,0
982,1,127,1,0
983,1,127,1,0
984,1,127,1,0
985,0,-127,0,0
986,1,127,1,0
987,1,127,1,0
988,0,-127,0,0
989,1,127,1,0
990,1,127,1,0
991,0,-127,0,0
992,1,127,1,0
993,0,-127,0,0
994,1,127,1,0
995,1,127,1,0
996,0,-127,0,0
997,0,-127,0,0
998,1,127,1,0
999,1,127,1,0
1000,0,-127,0,0
1001,1,127,1,0
1002,1,127,1,0
1003,1,127,1,0
1004,1,127,1,0
1005,0,-127,0,0
1006,1,127,1,0
1007,0,-127,0,0
1008,1,127,1,0
1009,1,127,1,0
1010,0,-127,0,0
1011,0,-127,0,0
1012,1,127,1,0
1013,1,127,1,0
1014,1,127,1,0
1015,0,-127,0,0
1016,1,127,1,0
1017,1,127,1,0
1018,0,-127,0,0
1019,0,-127,0,0
1020,1,127,1,0
1021,1,127,1,0
1022,1,127,1,0
1023,1,127,1,0
1024,0,-127,0,0
1025,0,-127,0,0
1026,0,-127,0,0
1027,1,127,1,0
1028,0,-127,0,0
1029,0,-127,0,0
1030,0,-127,0,0
1031,1,127,1,0
1032,1,127,1,0
1033,1,127,1,0
1034,1,127,1,0
1035,1,127,1,0
1036,1,127,1,0
1037,1,127,1,0
1038,0,-127,0,0
1039,1,127,1,0
1040,1,127,1,0
1041,1,127,1,0
1042,0,-127,0,0
1043,0,-127,0,0
1044,1,127,1,0
1045,1,127,1,0
1046,0,-127,0,0
1047,1,127,1,0
1048,1,127,1,0
1049,1,127,1,0
1050,1,127,1,0
1051,1,127,1,0
1052,1,127,1,0
1053,1,127,1,0
1054,0,-127,0,0
1055,0,-127,0,0
1056,0,-127,0,0
1057,0,-127,0,0
1058,1,127,1,0
1059,0,-127,0,0
1060,0,-127,0,0
1061,0,-127,0,0
1062,1,127,1,0
1063,0,-127,0,0
1064,0,-127,0,0
1065,1,127,1,0
1066,0,-127,0,0
1067,0,-127,0,0
1068,0,-127,0,0
1069,0,-127,0,0
1070,1,127,1,0
1071,1,127,1,0
1072,0,-127,0,0
1073,0,-127,0,0
1074,0,-127,0,0
1075,1,127,1,0
1076,1,127,1,0
1077,1,127,1,0
1078,1,127,1,0
1079,1,127,1,0
1080,0,-127,0,0
1081,1,127,1,0
